FIPS,County,State,measure,value
01001,Autauga County,Alabama,Total,59285.0
01003,Baldwin County,Alabama,Total,239945.0
01005,Barbour County,Alabama,Total,24757.0
01007,Bibb County,Alabama,Total,22152.0
01009,Blount County,Alabama,Total,59292.0
01011,Bullock County,Alabama,Total,10157.0
01013,Butler County,Alabama,Total,18807.0
01015,Calhoun County,Alabama,Total,116141.0
01017,Chambers County,Alabama,Total,34450.0
01019,Cherokee County,Alabama,Total,25224.0
01021,Chilton County,Alabama,Total,45500.0
01023,Choctaw County,Alabama,Total,12525.0
01025,Clarke County,Alabama,Total,22802.0
01027,Clay County,Alabama,Total,14188.0
01029,Cleburne County,Alabama,Total,15254.0
01031,Coffee County,Alabama,Total,54231.0
01033,Colbert County,Alabama,Total,57648.0
01035,Conecuh County,Alabama,Total,11411.0
01037,Coosa County,Alabama,Total,10323.0
01039,Covington County,Alabama,Total,37647.0
01041,Crenshaw County,Alabama,Total,13144.0
01043,Cullman County,Alabama,Total,89463.0
01045,Dale County,Alabama,Total,49516.0
01047,Dallas County,Alabama,Total,37536.0
01049,Dekalb County,Alabama,Total,71946.0
01051,Elmore County,Alabama,Total,88669.0
01053,Escambia County,Alabama,Total,36695.0
01055,Etowah County,Alabama,Total,103208.0
01057,Fayette County,Alabama,Total,16173.0
01059,Franklin County,Alabama,Total,31978.0
01061,Geneva County,Alabama,Total,26726.0
01063,Greene County,Alabama,Total,7589.0
01065,Hale County,Alabama,Total,14749.0
01067,Henry County,Alabama,Total,17450.0
01069,Houston County,Alabama,Total,107628.0
01071,Jackson County,Alabama,Total,52839.0
01073,Jefferson County,Alabama,Total,669744.0
01075,Lamar County,Alabama,Total,13809.0
01077,Lauderdale County,Alabama,Total,95037.0
01079,Lawrence County,Alabama,Total,33182.0
01081,Lee County,Alabama,Total,177663.0
01083,Limestone County,Alabama,Total,107577.0
01085,Lowndes County,Alabama,Total,10008.0
01087,Macon County,Alabama,Total,18951.0
01089,Madison County,Alabama,Total,397135.0
01091,Marengo County,Alabama,Total,19027.0
01093,Marion County,Alabama,Total,29190.0
01095,Marshall County,Alabama,Total,98712.0
01097,Mobile County,Alabama,Total,413162.0
01099,Monroe County,Alabama,Total,19580.0
01101,Montgomery County,Alabama,Total,227197.0
01103,Morgan County,Alabama,Total,123742.0
01105,Perry County,Alabama,Total,8231.0
01107,Pickens County,Alabama,Total,18843.0
01109,Pike County,Alabama,Total,32953.0
01111,Randolph County,Alabama,Total,22310.0
01113,Russell County,Alabama,Total,58858.0
01115,St. Clair County,Alabama,Total,92903.0
01117,Shelby County,Alabama,Total,226955.0
01119,Sumter County,Alabama,Total,12020.0
01121,Talladega County,Alabama,Total,81170.0
01123,Tallapoosa County,Alabama,Total,41070.0
01125,Tuscaloosa County,Alabama,Total,234036.0
01127,Walker County,Alabama,Total,64886.0
01129,Washington County,Alabama,Total,15270.0
01131,Wilcox County,Alabama,Total,10347.0
01133,Winston County,Alabama,Total,23637.0
02013,Aleutians East Borough,Alaska,Total,3423.0
02016,Aleutians West Census Area,Alaska,Total,5178.0
02020,Anchorage Municipality,Alaska,Total,289069.0
02050,Bethel Census Area,Alaska,Total,18487.0
02060,Bristol Bay Borough,Alaska,Total,878.0
02063,Chugach Census Area,Alaska,Total,6964.0
02066,Copper River Census Area,Alaska,Total,2626.0
02068,Denali Borough,Alaska,Total,2029.0
02070,Dillingham Census Area,Alaska,Total,4780.0
02090,Fairbanks North Star Borough,Alaska,Total,95555.0
02100,Haines Borough,Alaska,Total,2077.0
02105,Hoonah-Angoon Census Area,Alaska,Total,2313.0
02110,Juneau City And Borough,Alaska,Total,31969.0
02122,Kenai Peninsula Borough,Alaska,Total,59843.0
